#{"t_start": 1765153653.31752, "env_id": "BipedalWalker-v3"}
r,l,t
-105.302314,55,396.729156
-119.532427,107,396.858499
-106.757967,76,396.960488
-90.42145,332,397.685674
-100.603243,283,398.012259
-102.035918,67,398.085058
-122.96886,256,398.409602
-95.771627,64,398.483324
-98.653176,63,398.713164
-100.513601,621,399.42902
-115.504406,1231,401.186917
-106.222659,363,401.786164
-123.207115,186,402.044066
-89.205413,694,405.064106
-103.490636,64,405.160025
-103.038493,87,405.285701
-104.339892,59,405.38483
-126.359311,118,405.499415
-81.09278,1600,407.865043
-98.44764,62,408.067446
-104.718517,66,408.158859
-121.336535,91,408.270782
-106.426768,72,408.34802
-104.891013,153,408.769841
-143.315902,1402,412.855964
-18.907869,1600,417.134565
-0.630433,1600,421.64154
-114.211806,60,421.714148
-104.309172,682,422.814597
-127.419699,85,422.969358
-82.567238,549,425.6973
-94.689268,895,427.088265
-86.207097,273,427.68198
-104.565441,63,427.755442
-110.542344,65,427.833624
-102.481247,86,428.141463
-102.490797,131,428.309542
-111.246022,64,428.462862
-115.617653,68,428.542515
23.118733,1600,430.924834
-103.367247,71,430.987764
-122.735664,100,431.426943
-97.364156,72,431.488876
-101.489102,63,431.561481
-106.575451,114,431.980137
-104.646788,87,432.059023
-71.19746,1113,433.668278
-119.717393,84,434.012489
-103.083423,90,434.121263
-101.983454,52,434.20506
-110.911763,74,434.354122
-101.341489,106,434.479685
-99.690903,64,434.561996
32.471067,1600,437.306819
-108.915446,110,437.501908
-98.177126,94,437.600728
-139.759863,165,438.024783
-102.028529,80,438.132124
38.070207,1600,440.638825
-52.120669,1309,443.100818
37.443472,1600,444.919569
-137.731352,122,445.048904
-97.751617,129,445.635273
-115.373527,180,445.77546
18.396981,1600,449.129034
-30.681231,1437,451.331063
-94.285648,531,452.079573
-124.698228,118,452.59328
-95.122844,260,452.921999
-119.234449,117,453.111161
-105.310363,61,453.210409
-105.666262,139,453.351247
-117.163956,111,453.490921
-129.642232,182,453.701521
-103.714192,71,453.821614
-135.066972,150,453.941807
-109.386835,60,453.996181
-103.997483,91,454.254999
-101.446403,68,454.315722
-106.385436,67,454.377643
-112.760577,57,454.433428
-105.815796,139,454.648309
-101.399539,200,454.961233
-99.63576,109,455.055404
-103.115214,85,455.20325
-107.108819,65,455.266055
-113.949416,94,455.348925
-113.485732,80,455.469142
-123.203518,96,455.55008
-70.927589,580,456.386444
-108.095531,142,456.67811
-94.459219,118,456.848542
-117.076421,72,456.926745
-103.798272,360,457.465123
-111.661968,75,457.514591
-108.505268,211,457.86403
-85.633164,779,459.071524
-126.391686,90,459.143491
-92.055614,220,459.781141
-100.704016,123,459.971448
-46.810802,904,461.552899
-114.814829,55,461.594001
-102.482085,64,461.693249
-123.850581,106,461.864054
-100.141893,158,462.082214
-116.438807,77,462.142475
-111.319863,69,462.205454
-98.403814,113,462.467822
-124.050916,100,462.560093
-99.167869,99,462.68714
-110.997012,46,462.731192
-113.549029,67,462.788311
-94.315741,221,463.510849
-82.858353,447,464.434345
-120.902022,112,464.5674
-135.496847,254,464.818479
-97.172476,479,465.42722
-102.951994,90,465.48999
-101.229906,116,465.873701
-99.781755,65,465.947943
-103.753094,88,466.043737
-102.453196,271,466.410667
-109.691122,182,466.71883
-102.147773,101,466.788151
-100.190603,71,467.013546
-130.282575,117,467.139152
-106.516635,89,467.441767
-108.861888,59,467.562722
-114.311793,103,467.647345
-101.829159,315,467.972681
-116.614013,79,468.107836
-116.826879,109,468.205262
-101.998555,85,468.300445
-100.962313,61,468.405041
-101.766094,72,468.47981
-120.037556,112,468.631799
-101.092744,437,469.247607
-100.682921,109,469.400954
-97.455677,193,469.602275
-123.537458,91,469.754914
-107.684526,45,469.801599
-95.619481,437,470.474279
-98.906402,105,470.590033
-109.028124,58,470.682826
-103.302259,68,470.761563
-126.789815,120,471.249869
-124.423032,79,471.337875
-92.86436,457,471.942861
-93.344746,110,472.05212
-116.444171,96,472.235965
-109.829545,117,472.356897
-103.27783,105,472.558341
-107.147614,49,472.620745
-119.410978,69,472.698518
-113.112478,79,472.79017
-114.978138,90,473.060704
-100.995128,94,473.166487
-104.380567,73,473.236817
-104.831156,94,473.389339
-92.772592,222,473.893136
-100.80517,91,473.971291
-113.846613,82,474.035504
-100.327107,112,474.419083
-101.166496,77,474.490128
-108.237245,647,476.045692
-124.428152,82,476.202661
-105.635467,70,476.317264
-68.957726,477,477.010706
-98.462039,138,477.218442
-78.34809,778,478.24864
-75.606304,589,478.839903
-102.722479,85,478.905052
-102.767983,93,479.321211
-78.93524,566,480.286111
-104.879055,174,480.725102
-64.499285,851,482.647405
-101.72579,223,483.354841
-101.351182,78,483.411944
-95.786492,175,483.641318
80.434448,1600,486.1231
-54.90903,988,487.40409
-131.822013,162,487.628929
-117.284205,130,487.878067
-92.967662,91,487.958705
-85.967499,330,488.364295
-84.773421,636,489.425415
76.406654,1600,491.125446
-1.24213,1481,493.474339
97.363952,1600,496.037112
-73.462409,479,496.587744
-105.54926,49,496.625403
-100.395461,90,496.873652
-90.713862,133,496.976457
-99.564109,70,497.378371
-106.562108,56,497.455698
-109.104422,113,497.574626
-100.128084,69,497.796545
-13.766564,1292,499.239068
-99.704053,80,499.309993
-116.568729,74,499.372527
-98.140949,88,499.482694
-106.963386,52,499.514055
-101.871628,61,499.550243
-102.589923,61,499.589201
-91.043717,201,499.743501
-102.348023,104,499.811524
-108.806564,127,499.922933
-108.814289,109,499.994178
-100.923545,84,500.081239
-96.2799,77,500.127493
-106.292401,254,500.338523
-103.80415,43,500.377308
-107.466553,58,500.429854
-117.471973,75,500.580075
-71.323238,392,500.935117
-102.078935,59,500.984026
-101.858351,70,501.080782
-99.651093,65,501.128709
-71.184197,313,501.533131
-107.940901,86,501.626112
-69.682086,420,502.118765
-95.54304,169,502.344249
-68.037654,371,502.739609
-103.333698,54,502.809119
-114.170049,352,503.334576
-115.499588,61,503.376909
-100.388315,135,503.647959
-110.504368,78,503.731105
-103.781409,67,503.808565
-101.297729,106,503.981621
-80.902365,219,504.180962
-106.895962,206,504.456911
-97.492151,111,504.72371
-100.963574,99,504.828724
-95.25069,302,505.284562
-95.172566,486,505.949465
-101.41426,166,506.124954
-100.252745,61,506.176559
-102.612035,79,506.230474
-90.152146,221,506.630356
-58.500917,789,507.496056
-102.033413,77,507.632081
-100.119013,93,507.71973
-101.358418,75,507.784118
-94.777355,181,508.170098
-104.704033,60,508.224766
-104.361008,83,508.282646
-87.819462,188,508.480271
-66.048742,1600,513.639046
-104.502319,83,513.819896
-111.909232,64,513.870715
-106.897614,101,513.955471
-115.561571,74,514.213542
-99.419361,77,514.279972
-118.316683,117,514.378159
-122.329698,134,514.646979
-104.594176,80,514.714569
-73.330045,1600,516.592312
-107.733303,86,516.666214
-106.404186,54,516.714622
-107.748623,98,516.787647
-103.622063,56,516.929427
-69.865887,1600,518.977785
-72.840768,1600,521.004462
-52.463932,1600,522.605598
-59.437027,1600,524.470949
-47.47837,1600,526.644187
-107.12088,67,526.707216
-110.939046,183,526.915071
-101.137206,61,526.970244
-108.14098,51,527.008811
-41.482676,1600,529.031112
-111.434381,119,529.157478
-160.158393,1181,531.141899
-98.500333,140,531.236056
-107.275406,67,531.569379
-137.653652,632,532.254542
-173.293327,1193,533.603856
-145.053241,1360,535.506317
-115.268881,72,535.570335
-44.452465,1600,537.152592
-45.440789,1600,539.423294
-105.017056,191,539.577297
-101.784826,116,539.69717
-106.883449,60,539.751884
-109.414044,102,539.92993
-121.741993,103,540.015191
-114.646576,300,540.378549
-104.732917,243,540.634888
-117.054795,590,541.234769
-145.998953,987,542.217386
-103.16375,152,542.423147
-121.969024,143,542.547528
-101.609562,71,542.673851
-104.073045,62,542.729156
-124.303981,91,542.831342
-103.919246,66,542.951836
-102.779955,361,543.452714
-109.584687,62,543.502279
-98.523527,76,543.557306
-105.866936,213,543.86528
-127.053729,1264,545.838706
-109.104094,386,546.432524
-98.227079,117,546.538538
-105.20942,73,546.767568
-37.54615,1600,548.509301
-101.439207,77,548.578708
-132.48001,122,548.713498
-109.826947,60,548.761116
-101.721678,68,548.820686
-105.693666,57,548.871081
-103.13368,57,548.921008
-137.606893,1521,550.906895
-117.532335,71,551.17521
-104.98838,68,551.221602
-107.808808,62,551.266672
-36.027946,1600,553.100203
-32.56011,1600,554.762172
-107.853531,67,554.825538
-108.111469,59,554.892762
-108.712701,55,554.951592
-99.826756,74,555.054789
-105.529091,77,555.125131
-27.641811,1600,557.197142
-22.295633,1600,558.974019
-34.650781,1600,560.7359
-31.683804,1600,563.215171
-116.908176,744,564.188394
-100.277136,55,564.238722
-101.815968,65,564.295748
-99.419941,910,566.029214
-13.744922,1600,567.97798
-10.985811,1600,569.862725
-18.205677,1600,571.691772
-102.721432,73,571.752764
-14.258711,1600,573.389461
-17.531592,1600,574.957449
-106.444637,61,575.609622
-108.249608,39,575.676729
-138.443934,197,575.874271
-8.568187,1600,577.664949
-107.213877,887,578.590915
-101.102537,124,578.742969
-108.212265,60,578.795028
-108.647024,79,578.860352
-144.235436,1087,580.043613
-100.607107,79,580.098855
-119.712929,85,580.172502
-108.833908,285,580.596735
-105.798802,205,580.892468
-108.150509,237,581.155416
-106.753055,213,581.415963
-100.67245,65,581.502243
-110.45037,196,581.724924
-11.320106,1600,583.539654
-123.789381,90,583.672152
-8.754733,1600,585.719942
-15.113573,1600,587.536314
-1.030641,1600,589.714849
5.227005,1600,591.440302
-120.169213,110,591.521174
-98.086121,68,591.580211
2.712407,1600,593.75684
-99.668075,86,594.004157
7.581343,1600,595.872172
-107.661512,114,596.047663
-2.297073,1600,598.16097
-102.590165,51,598.233244
-101.287204,71,598.292289
-2.003611,1600,600.408818
-109.466191,47,600.492411
-111.867649,101,600.569721
-109.397719,64,600.623585
-12.627493,1600,602.505339
-4.709983,1600,604.453682
-8.390442,1600,606.016619
7.167788,1600,607.667928
-19.941436,1600,609.710524
-23.510777,1600,611.998281
-27.035707,1600,613.751776
-104.542522,68,613.807756
-13.777699,1600,615.675071
-111.467564,71,615.73915
-15.926133,1600,617.532199
-101.534271,65,617.604421
-110.542792,101,617.849731
-114.315007,82,617.933779
-116.2691,1529,619.790385
-11.911882,1600,621.839839
-109.694629,600,622.46402
-112.716842,74,622.521938
-5.763016,1600,623.854979
-93.567018,1505,625.731605
10.845716,1600,627.65164
-106.821042,54,627.754343
-109.810324,39,627.782989
-99.450417,60,627.832858
1.433243,1600,629.828994
-108.649175,41,629.867026
-109.574817,39,629.899304
-113.368868,240,630.176965
-101.407327,71,630.283899
-105.044446,54,630.322588
-109.546501,46,630.362169
-106.345467,66,630.421344
-105.664695,85,630.534547
-107.597785,49,630.569298
-102.241284,114,630.667015
-7.806002,1600,632.712551
